-29.963,0.6472
-28.766,0.69685
-27.568,0.71743
-26.371,0.72649
-25.174,0.76232
-23.976,0.79156
-22.779,0.82533
-21.582,0.85703
-20.384,0.88257
-19.358,0.92816
-19.122,0.92078
-17.99,0.96081
-16.792,1.0211
-15.595,1.0489
-14.398,1.1041
-13.2,1.1667
-12.073,1.257
-10.806,1.3207
-9.6629,1.4154
-8.7921,1.4992
-7.8669,1.612
-6.9417,1.7204
-6.2886,1.8171
-5.4567,1.9279
-4.9961,1.9978
-4.3294,2.1357
-3.7307,2.2353
-2.9797,2.3279
-2.3375,2.4792
-1.8959,2.5404
-1.4232,2.6682
-0.90069,2.7485
0.032282,2.9472
-0.41088,2.84
0.96785,3.1342
2.2355,3.2723
2.8437,3.2777
3.3443,3.2153
3.9974,3.1096
4.324,3.009
4.9771,2.8753
5.5757,2.758
6.0111,2.6688
6.9484,2.5081
7.6982,2.3893
8.2425,2.2933
8.7323,2.186
9.135,2.1107
10.038,1.9892
10.692,1.8835
11.29,1.7914
11.998,1.704
12.868,1.5808
13.794,1.4799
14.882,1.38
16.103,1.3116
17.277,1.2091
18.474,1.1412
19.671,1.0827
20.869,1.0515
22.066,0.98346
23.263,0.94392
24.461,0.91318
25.658,0.87021
26.855,0.82986
28.053,0.80927
29.25,0.77577
30.175,0.72842
